cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
51205603C9;5019467;109000.0;1.0;109000.0;SETTORI ORDINARI;2007-01-30;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI POLISTENA;SEZIONE REGIONALE CALABRIA;CENTRO PER ATTIVITÀ RICREATIVE.;CASTAGNA FORTUNATO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
47377735F5;4666039;48065.1;1.0;48065.1;SETTORI ORDINARI;2007-01-22;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;SOGEI SPA;SEZIONE REGIONALE CENTRALE;APPARECCHIATURE DI TRASMISSIONE DATI.;FOIANESI COS. MAR. DI FOIANESI FABIO E C. - S.N.C.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
001285611B;19191;40000.0;1.0;40000.0;SETTORI SPECIALI;2007-01-19;PROCEDURA NEGOZIATA;CONTRATTO DAPPALTO;CENTOSTAZIONI S.P.A.;SEZIONE REGIONALE CENTRALE;SERVIZI INFORMATICI ED AFFINI.;KPMG ADVISORY SPA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
001285611B;19191;40000.0;1.0;40000.0;SETTORI SPECIALI;2007-01-19;PROCEDURA NEGOZIATA;CONTRATTO DAPPALTO;CENTOSTAZIONI S.P.A.;SEZIONE REGIONALE CENTRALE;SERVIZI INFORMATICI ED AFFINI.;KOSMOUS SRL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3148353714;3173436;100000.0;1.0;100000.0;SETTORI SPECIALI;2007-01-26;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ACQUISIZIONE IN ECONOMIA;ARETI S.P.A.;SEZIONE REGIONALE CENTRALE;ACCESSORI PER ISOLAZIONE.;REFI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4424785816;4375199;140592.5;1.0;140592.5;SETTORI ORDINARI;2007-01-15;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;SEZIONE REGIONALE CENTRALE;LAVORI DI RIPARAZIONE STRADALE.;CICCHETTI REMO  FIGLIO SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2701665C79;2759518;900000.0;5.0;200000.0;SETTORI ORDINARI;2007-01-24;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;CONSER V.C.O. SPA;SEZIONE REGIONALE PIEMONTE;AUTOVEICOLI PER LA RACCOLTA DI RIFIUTI CON COMPATTATORE.;FARID INDUSTRIE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4433058330;4383272;62786.37;1.0;62786.37;SETTORI ORDINARI;2007-01-31;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;REGIONE LAZIO;SEZIONE REGIONALE LAZIO;SCUOLA ELEMENTARE.;BASILI ENRICO S.A.S.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
43863946D5;4341768;115805.87;1.0;115805.87;SETTORI ORDINARI;2007-01-23;PROCEDURA APERTA;CONTRATTO D'APPALTO;REGIONE SICILIANA;SEZIONE REGIONALE SICILIA;INSTALLAZIONE DI DISPOSITIVI DI ILLUMINAZIONE ESTERNA.;LO SARDO SEBASTIANO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
403778773C;4017850;1600000.0;1.0;1600000.0;SETTORI ORDINARI;2007-01-15;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;SOGEI SPA;SEZIONE REGIONALE CENTRALE;AUTOVETTURE PER TRASPORTO PASSEGGERI.;LEASYS S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4095653FC2;4072314;4409726.5;1.0;4409726.3;SETTORI ORDINARI;2007-01-16;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ACCORDO QUADRO/CONVENZIONE;DIREZIONE PER LO SVILUPPO SOSTENIBILE IL CLIMA E LENERGIA;SEZIONE REGIONALE CENTRALE;SERVIZI DI CONSULENZA NEL CAMPO DELLO SVILUPPO.;UNICREDIT MEDIOCREDITO CENTRALE SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2787879686;2838581;99344.0;1.0;99344.0;SETTORI ORDINARI;2007-01-19;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO;COMUNE DI CASTIGLIONE MESSER RAIMONDO;SEZIONE REGIONALE ABRUZZO;STRUTTURE IN CEMENTO ARMATO.;PRO SYSTEM S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2701856A18;2759518;900000.0;5.0;30000.0;SETTORI ORDINARI;2007-01-24;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;CONSER V.C.O. SPA;SEZIONE REGIONALE PIEMONTE;AUTOVEICOLI PER IL TRASPORTO DI RIFIUTI.;FARID INDUSTRIE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02694526D1;359481;65370.4;1.0;65370.4;SETTORI ORDINARI;2007-01-04;PROCEDURA APERTA;CONTRATTO DAPPALTO;PROVINCIA REGIONALE AGRIGENTO;SEZIONE REGIONALE SICILIA;RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI ALLE STRADE ED ALTRE ATTREZZATURE.;DITTA PROIETTO ANGELO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
32631081E8;3283009;1680000.0;8.0;180000.0;SETTORI ORDINARI;2007-01-10;PROCEDURA APERTA;CONTRATTO DAPPALTO;ASL TARANTO;SEZIONE REGIONALE PUGLIA;STAZIONI RADIOLOGICHE.;S.V.E.D.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
6936606C58;6627422;69000.0;1.0;69000.0;SETTORI ORDINARI;2007-01-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;CENTRALE DI COMMITTENZA MODICA-SCICLI;SEZIONE REGIONALE SICILIA;SERVIZI DI MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE.;ENEL SOLE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1591130203;1657605;58500.0;1.0;58500.0;SETTORI ORDINARI;2007-01-26;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA SANITARIA UNICA REGIONALE;SEZIONE REGIONALE MARCHE;MATERIALE DIAGNOSTICO.;VOLCANO EUROPE SA/NV;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
00874462B8;128563;883440.0;1.0;883440.0;SETTORI ORDINARI;2007-01-10;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;MINISTERO DELLAMBIENTE E DELLA TUTELA DEL TERRITORIO E DEL MARE;SEZIONE REGIONALE CENTRALE;VEICOLI A MOTORE, RIMORCHI E PEZZI DI RICAMBIO PER VEICOLI.;LAND ROVER ITALIA S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1571201414;1637755;1299199.19;1.0;1299199.19;SETTORI ORDINARI;2007-01-05;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI SCAFATI;SEZIONE REGIONALE CAMPANIA;LAVORI GENERALI DI COSTRUZIONE DI LINEE ELETTRICHE.;DITTA GRANATA NICOLA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
1571201414;1637755;1299199.19;1.0;1299199.19;SETTORI ORDINARI;2007-01-05;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI SCAFATI;SEZIONE REGIONALE CAMPANIA;LAVORI GENERALI DI COSTRUZIONE DI LINEE ELETTRICHE.;CAV. ANGELO SAGGESE SNC;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0009818610;15094;137781.0;1.0;137781.0;SETTORI ORDINARI;2007-01-22;PROCEDURA APERTA;CONTRATTO DAPPALTO;COMUNE DI AULLA;SEZIONE REGIONALE TOSCANA;PRODOTTI DELLE MINIERE, DELLE CAVE ED ALTRI PRODOTTI AFFINI.;I.O.S.  S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
01229082E3;178518;110000.0;1.0;110000.0;SETTORI ORDINARI;2007-01-22;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;AZIENDA OSPEDALIERA SANTA MARIA DEGLI ANGELI;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;LAVORI DI COSTRUZIONE.;P.B.L. S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
349195653F;3498635;166600.0;1.0;166600.0;SETTORI ORDINARI;2007-01-26;PROCEDURA APERTA;CONTRATTO DAPPALTO;CONSORZIO PER LA REALIZZAZIONE SISTEMA INTEGRATO WELFARE ZONA POGGIARDO;SEZIONE REGIONALE PUGLIA;SERVIZI DI ASSISTENZA SOCIALE.;COOP SOC LA STRADA ARL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2129860013;2201845;7056100.0;1.0;7056100.0;SETTORI SPECIALI;2007-01-01;AFFIDAMENTO DIRETTO;AFFIDAMENTO A CONTRAENTE GENERALE;COMUNE DI CAGLIARI;SEZIONE REGIONALE SARDEGNA;EROGAZIONE DI ENERGIA ELETTRICA.;ENEL ENERGIA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0006906302;10933;124820.0;1.0;124820.0;SETTORI ORDINARI;2007-01-11;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;COMUNE DI PADOVA;SEZIONE REGIONALE VENETO;SERVIZI DI RIPARAZIONE, MANUTENZIONE E INSTALLAZIONE.;F.LLI VICARI S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1868088AF9;1939753;82789.56;1.0;82789.56;SETTORI ORDINARI;2007-01-09;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;COMUNE DI RIETI;SEZIONE REGIONALE LAZIO;LAVORI DI MANUTENZIONE STRADALE.;FABRIZI AURELIO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0054205B5E;80182;40000.0;1.0;40000.0;SETTORI SPECIALI;2007-01-19;PROCEDURA NEGOZIATA;CONTRATTO DAPPALTO;CENTOSTAZIONI S.P.A.;SEZIONE REGIONALE CENTRALE;SERVIZI INFORMATICI ED AFFINI.;BRAINWARE S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2007931513;2082293;11540157.72;1.0;11540157.72;SETTORI ORDINARI;2007-01-17;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI NAPOLI;SEZIONE REGIONALE CAMPANIA;LAVORI DI RESTAURO.;VALENTINO GIUSEPPE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
4767987B55;4694507;369881.5;2.0;196201.19;SETTORI ORDINARI;2007-01-29;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI REGGIO CALABRIA;SEZIONE REGIONALE CALABRIA;PARCHEGGIO.;TAVANO MAURIZIO;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
4767987B55;4694507;369881.5;2.0;196201.19;SETTORI ORDINARI;2007-01-29;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI REGGIO CALABRIA;SEZIONE REGIONALE CALABRIA;PARCHEGGIO.;CAMERA COSTRUZIONI SNC;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
5340282C1B;5216482;55603.0;1.0;55603.0;SETTORI ORDINARI;2007-01-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI AUGUSTA;SEZIONE REGIONALE SICILIA;SERVIZI DI MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE.;ENEL SOLE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
290614638B;2949682;24300.0;1.0;24300.0;SETTORI ORDINARI;2007-01-08;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;AZIENDA ULSS 12 VENEZIANA;SEZIONE REGIONALE VENETO;PRESIDI MEDICO-SANITARI VARI.;MEDICAL INSTRUMENTS SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
55454233D3;5401043;2852781.21;1.0;2852781.21;SETTORI ORDINARI;2007-01-17;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI CAVALLINO;SEZIONE REGIONALE PUGLIA;LAVORI DI COSTRUZIONE DI CONDOTTE IDRICHE E FOGNARIE.;CICCHETTI REMO  FIGLIO SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3263393D15;3283009;1680000.0;8.0;310000.0;SETTORI ORDINARI;2007-01-10;PROCEDURA APERTA;CONTRATTO DAPPALTO;ASL TARANTO;SEZIONE REGIONALE PUGLIA;APPARECCHIATURA DOPPLER.;ESAOTE S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
41389891C6;4113696;162017.5;1.0;162017.5;SETTORI ORDINARI;2007-01-31;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI NUORO;SEZIONE REGIONALE SARDEGNA;LAVORI EDILI.;MA.CO.GE. S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
2666282D7F;2724941;1277172.0;1.0;1277172.0;SETTORI ORDINARI;2007-01-24;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;AZIENDA OSPEDALIERA UNIVERSITARIA OSPEDALI RIUNITI DI TRIESTE;SEZIONE REGIONALE FRIULI VENEZIA GIULIA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI APPARECCHI TELEFONICI.;DELCO SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3301145F04;3319688;93750.0;1.0;93750.0;SETTORI ORDINARI;2007-01-17;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA SANITARIA LOCALE 1 DI AVEZZANO-SULMONA-L AQUILA;SEZIONE REGIONALE ABRUZZO;PRESIDI MEDICO-SANITARI VARI.;FRESENIUS MEDICAL CARE SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
276996683F;2822144;1200000.0;1.0;1200000.0;SETTORI SPECIALI;2007-01-30;PROCEDURA APERTA;CONTRATTO D'APPALTO;RETE FERROVIARIA ITALIANA - SOCIETA  PER AZIONI;SEZIONE REGIONALE CENTRALE;OPERE D'ARTE E STRUTTURE.;PINTO COSTRUZIONI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
431038523A;4273762;2196640.0;1.0;2196640.0;SETTORI ORDINARI;2007-01-02;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI LECCE;SEZIONE REGIONALE PUGLIA;LAVORI DI SUPERFICIE PER GIARDINI.;S.O. METAL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
431038523A;4273762;2196640.0;1.0;2196640.0;SETTORI ORDINARI;2007-01-02;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI LECCE;SEZIONE REGIONALE PUGLIA;LAVORI DI SUPERFICIE PER GIARDINI.;ECOVERDE S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3622232866;3622444;150000.0;1.0;150000.0;SETTORI ORDINARI;2007-01-02;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI GROTTAMINARDA;SEZIONE REGIONALE CAMPANIA;LAVORI STRADALI.;CF COSTRUZIONI DEL GEOM. FRANCESCO COLELLA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
473779581C;4666052;63060.18;1.0;63060.18;SETTORI ORDINARI;2007-01-26;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;SOGEI SPA;SEZIONE REGIONALE CENTRALE;APPARECCHIATURE DI TRASMISSIONE DATI.;ALPITEL SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
1000519664;1052706;1448000.0;1.0;1448000.0;SETTORI SPECIALI;2007-01-31;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;RETE FERROVIARIA ITALIANA - SOCIETA  PER AZIONI;SEZIONE REGIONALE CENTRALE;SOTTOSTAZIONE DI TRASFORMAZIONE.;MONT-ELE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
4467039D2F;4414786;1226372.02;1.0;1226372.02;SETTORI ORDINARI;2007-01-19;PROCEDURA APERTA;CONTRATTO D'APPALTO;COMUNE DI MAGLIANO IN TOSCANA;SEZIONE REGIONALE TOSCANA;LAVORI DI CONSOLIDAMENTO DELLE SCOGLIERE.;F.LLI MARIANI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
270192530B;2759518;900000.0;5.0;150000.0;SETTORI ORDINARI;2007-01-24;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;CONSER V.C.O. SPA;SEZIONE REGIONALE PIEMONTE;AUTOSPAZZATRICI.;FARID INDUSTRIE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
32633487F4;3283009;1680000.0;8.0;210000.0;SETTORI ORDINARI;2007-01-10;PROCEDURA APERTA;CONTRATTO D'APPALTO;ASL TARANTO;SEZIONE REGIONALE PUGLIA;APPARECCHI RADIOLOGICI.;PHILIPS MEDICAL SYSTEMS S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
32632051F4;3283009;1680000.0;8.0;180000.0;SETTORI ORDINARI;2007-01-10;PROCEDURA APERTA;CONTRATTO DAPPALTO;ASL TARANTO;SEZIONE REGIONALE PUGLIA;STAZIONI RADIOLOGICHE.;S.V.E.D.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
