"cig";"cig_accordo_quadro";"numero_gara";"oggetto_gara";"importo_complessivo_gara";"n_lotti_componenti";"oggetto_lotto";"importo_lotto";"oggetto_principale_contratto";"stato";"settore";"luogo_istat";"provincia";"data_pubblicazione";"data_scadenza_offerta";"cod_tipo_scelta_contraente";"tipo_scelta_contraente";"cod_modalita_realizzazione";"modalita_realizzazione";"codice_ausa";"cf_amministrazione_appaltante";"denominazione_amministrazione_appaltante";"sezione_regionale";"id_centro_costo";"denominazione_centro_costo";"anno_pubblicazione";"mese_pubblicazione";"cod_cpv";"descrizione_cpv";"flag_prevalente"
"4729955258";"";"4658192";"SUPPORTO SPECIALISTICO PER LA REALIZZAZIONE DI APPLICAZIONI IN AMBIENTE JAVA PER IL SISTEMA TRIBUTARIO DELL'AMMINISTRAZIONE AUTONOMA DEI MONOPOLI DI STATO";"40050.0";"1";"SUPPORTO SPECIALISTICO PER LA REALIZZAZIONE DI APPLICAZIONI IN AMBIENTE JAVA PER IL SISTEMA TRIBUTARIO DELL'AMMINISTRAZIONE AUTONOMA DEI MONOPOLI DI STATO";"40050.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-28";"2007-03-07";"4";"PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE";"7";"ACQUISIZIONE IN ECONOMIA";"0000203769";"02327910580";"SOGEI SPA";"SEZIONE REGIONALE CENTRALE";"16B3E636-7B3E-4F78-A2F4-DAEDB863BA0D";"APPROVVIGIONAMENTI";"2007";"2";"72253000-3";"SERVIZI DI ASSISTENZA INFORMATICA E DI SUPPORTO.";"1"
"30503246FD";"";"3076969";"P.I. FORNITURA FILI DI SUTURA STERILI SIA NATURALI CHE SINTECICI EX AS  N. 6 LAMEZIA TERME";"906600.0";"47";"LOTTO 41 - RETI PER ERNIA";"9000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-08";"2007-04-23";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000205803";"02865540799";"AZIENDA SANITARIA PROVINCIALE DI CATANZARO";"SEZIONE REGIONALE CALABRIA";"1F71778D-3EF0-4CBB-AC74-5F3F76A7BA9B";"ACQUISIZIONE BENI E SERVIZI";"2007";"2";"33141125-2";"MATERIALE PER SUTURE CHIRURGICHE.";"1"
"3103866F3C";"";"3133239";"AGG.NE FORNITURA MATERIALE PER VITRECTOMIA E DISTACCO DI RETINA-LOTTO 20 - OCCORENTE PER U.O. DI OFTALMOLOGIA DI CETRARO A SEGUITO GARA CON PROCEDURA RISTRETTA ACCELERATA";"412860.906";"3";"AGG.NE FORNITURA MATERIALE PER VITRECTOMIA E DISTACCO DI RETINA-LOTTO 20 - OCCORENTE PER U.O. DI OFTALMOLOGIA DI CETRARO A SEGUITO GARA CON PROCEDURA RISTRETTA ACCELERATA";"8190.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-27";"2007-03-26";"114";"PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA";"1";"CONTRATTO D'APPALTO";"0000205881";"02853720783";"AZIENDA SANITARIA PROVINCIALE DI COSENZA";"SEZIONE REGIONALE CALABRIA";"471EF148-EF86-4831-AD7A-92A493B57C88";"U.O. ACQUISIZIONE BENI E SERVIZI EX A.S.1 DI PAOLA";"2007";"2";"";"";
"10414095E3";"";"1093775";"RETE CHIRURGICA";"867.24";;"RETE CHIRURGICA";"867.24";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-05";"2011-02-11";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"7";"ACQUISIZIONE IN ECONOMIA";"0000169632";"00913220240";"UNITA  LOCALE SOCIO SANITARIA N. 5";"SEZIONE REGIONALE VENETO";"F588776A-0C3B-4226-B61A-A814C49E171F";"APPROVVIGIONAMENTI GENERALI ED ECONOMALI";"2007";"2";"33190000-8";"PRESIDI MEDICO-SANITARI VARI.";"1"
"0006398FC7";"";"10317";"TRASMISSIONE SEDUTE CONSILIARI IN DIRETTA RADIOFONICA";"33000.0";;"TRASMISSIONE SEDUTE CONSILIARI IN DIRETTA RADIOFONICA";"33000.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-02-23";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000241297";"82002490264";"COMUNE DI CONEGLIANO";"SEZIONE REGIONALE VENETO";"A6A2BD56-5909-487E-9F40-82FA07738F3F";"SERVIZIO AFFARI GENERALI";"2007";"2";"72000000-5";"SERVIZI INFORMATICI ED AFFINI.";"1"
"00045277CA";"";"7249";"SERVIZIO CENTRI ESTIVI DEL QUARTIERE 2 - ANNO 2007";"187000.0";;"GESTIONE SERVIZIO CENTRI ESTIVI";"187000.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-19";"2007-03-19";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000181211";"01307110484";"COMUNE DI FIRENZE";"SEZIONE REGIONALE TOSCANA";"AD832C0C-16B7-4225-B67C-8DC66439FB26";"QUARTIERE 2";"2007";"2";"92000000-1";"SERVIZI RICREATIVI, CULTURALI E SPORTIVI.";"1"
"11475013C7";"";"1201228";"GESTIONE, ESERCIZIO E MANUTENZIONE DEGLI IMPIANTI DI PUBBLICA ILLUMINAZIONE SOLE ENEL - ANNI 2011 E 2012.";"44048.0";;"GESTIONE, ESERCIZIO E MANUTENZIONE DEGLI IMPIANTI DI PUBBLICA ILLUMINAZIONE SOLE ENEL - ANNI 2011 E 2012.";"44048.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-02";"2007-02-26";"24";"AFFIDAMENTO DIRETTO";"9";"ACCORDO QUADRO/CONVENZIONE";"0000156896";"00232910091";"COMUNE DI SPOTORNO";"SEZIONE REGIONALE LIGURIA";"3458";"UFFICIO TECNICO COMUNALE";"2007";"2";"50232000-0";"MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE PUBBLICA E SEMAFORI.";"1"
"0005410079";"";"8677";"FORNITURA CABLAGGIO DATI";"129150.0";;"FORNITURA CABLAGGIO DATI";"129150.36";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-26";"2007-02-27";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000221433";"04658061009";"APAT - AGENZIA PROTEZIONE AMBIENTE E SERVIZI TECNICI";"SEZIONE REGIONALE CENTRALE";"D32E1EF9-0634-4C35-A626-08ECD7842F6C";"DIREZIONE";"2007";"2";"72000000-5";"SERVIZI INFORMATICI ED AFFINI.";"1"
"0005331F43";"";"8590";"FORNITURA VESTIARIO DI PROTEZIONE PER AGENTI DI P.M. - ANNO 2007";"32928.0";;"GIUBBOTTO ANTIPROIETTILE";"22440.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-16";"2007-03-13";"16";"ACCORDO QUADRO";"1";"CONTRATTO D'APPALTO";"0000179370";"00354730392";"COMUNE DI RAVENNA";"SEZIONE REGIONALE EMILIA ROMAGNA";"05D0794C-81FE-4E94-A693-B285609C6972";"SERVIZIO APPALTI CONTRATTI ED ACQUISTI";"2007";"2";"18000000-9";"INDUMENTI ED ACCESSORI.";"1"
"05709223BC";"";"613997";"SERVIZIO NECROFORI E ATTIVITA CIMITERIALI";"45971.0";;"SERVIZIO NECROFORI E PER ATTIVITA CIMITERIALI";"45971.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-27";"2007-02-28";"12";"AFFIDAMENTO DIRETTO EX ART.5 DELLA LEGGE N.381/91";"1";"CONTRATTO DAPPALTO";"0000158446";"00132550252";"COMUNE DI BELLUNO";"SEZIONE REGIONALE VENETO";"C74D157D-6060-46E8-BD1F-EF9D42CA5CEA";"SETTORE INTERVENTI SUL TERRITORIO";"2007";"2";"85320000-8";"SERVIZI SOCIALI.";"1"
"1307515382";"";"1363655";"SISTEMA RACCOLTA LIQUIDI ASPIRATI";"20000.0";;"SISTEMA RACCOLTA LIQUIDI ASPIRATI";"20000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-14";"2011-04-06";"1";"PROCEDURA APERTA";"1";"CONTRATTO DAPPALTO";"0000202799";"02585160167";"AZIENDA OSPEDALIERA BOLOGNINI DI SERIATE";"SEZIONE REGIONALE LOMBARDIA";"0AD50A39-0370-47EB-81AC-11EB23E4A44A";"UOC APPROVVIGIONAMENTI LOGISTICA E SERVIZI ALBERGHIERI";"2007";"2";"33141600-6";"RECIPIENTI E SACCHE DI RACCOLTA, MATERIALE DI DRENAGGIO.";"1"
"2470687B66";"";"2542957";"FORNITURA QUNQUENNALE DI REAGENTI CON COMODATO DI SISTEMI MACCHINA PER LABORATORIO ANALISI";"12492702";"58";"MONOUSO - LAB 30 - M. MEDICAL";"13115.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-04-04";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000219006";"04733491007";"AZIENDA SANITARIA LOCALE ROMA D";"SEZIONE REGIONALE LAZIO";"3EA9F008-C088-4A93-9076-B6FD938DF08F";"U.O.C. ACQUISIZIONE BENI E SERVIZI";"2007";"2";"";"";
"1784880192";"00071940AD";"1851597";"SERVIZIO DI TELEFONIA FISSA";"66666.67";;"SERVIZIO DI TELEFONIA FISSA";"66666.67";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-04-18";"1";"PROCEDURA APERTA";"11";"CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO";"0000172391";"01135570370";"COMUNE DI CASALECCHIO DI RENO";"SEZIONE REGIONALE EMILIA ROMAGNA";"F63A4418-D910-49D4-89EC-ED830FBDC002";"GARE CONTRATTI PATRIMONIO";"2007";"2";"64210000-1";"SERVIZI TELEFONICI E DI TRASMISSIONE DATI.";"1"
"246992241C";"";"2542957";"FORNITURA QUNQUENNALE DI REAGENTI CON COMODATO DI SISTEMI MACCHINA PER LABORATORIO ANALISI";"12492702";"58";"TERRENI DI COLTURA - LAB 22 - DASIT";"126122.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-04-04";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO DAPPALTO";"0000219006";"04733491007";"AZIENDA SANITARIA LOCALE ROMA D";"SEZIONE REGIONALE LAZIO";"3EA9F008-C088-4A93-9076-B6FD938DF08F";"U.O.C. ACQUISIZIONE BENI E SERVIZI";"2007";"2";"";"";
"1520139A60";"";"1576494";"ACQUISTO RICAMBI GRUPPO FRENI ANNO 2007";"115000.0";;"ACQUISTO RICAMBI GRUPPO FRENI ANNO 2007";"115000.0";"FORNITURE";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-15";"2007-03-22";"24";"AFFIDAMENTO DIRETTO";"7";"ACQUISIZIONE IN ECONOMIA";"0000300052";"03860240286";"APS HOLDING SPA";"SEZIONE REGIONALE VENETO";"92200F08-B289-4011-A435-7E2AA6520249";"UFFICIO ACQUISTI E APPALTI";"2007";"2";"";"";
"000312312E";"";"4880";"AFFIDO INCARICO PROFESSIONALE PER REDAZIONE DELLA PROGETTAZIONE PRELIMINARE, DEFINITIVA ED ESECUTIVA, DELLA DIREZIONE LAVORI, DELLA CONTABILITÀ E DEL COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE E PRATICHE TECNICHE ACCESSORIE DEI LAVORI DI AMPLIAMENTO DEL LICEO SCIENTIFICO ?G. GALILEI? A BELLUNO.";"305397.0";;"AFFIDO INCARICO PROFESSIONALE PER REDAZIONE DELLA PROGETTAZIONE PRELIMINARE, DEFINITIVA ED ESECUTIVA, DELLA DIREZIONE LAVORI, DELLA CONTABILITÀ E DEL COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE E PRATICHE TECNICHE ACCESSORIE DEI LAVORI DI AMPLIAMENTO DEL LICEO SCIENTIFICO G. GALILEI A BELLUNO.";"305397.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-12";"2007-02-13";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000245335";"93005430256";"PROVINCIA DI BELLUNO";"SEZIONE REGIONALE VENETO";"30C42CE5-546D-47CD-B625-06EEFFE54A76";"SERVIZIO APPALTI CONTRATTI ESPROPRI  DOTT SERENA STRAPPAZZON";"2007";"2";"74000000-9";"SERVIZI ARCHITETTONICI, DI INGEGNERIA, EDILI, GIURIDICI, CONTABILI E ALTRI SERVIZI PROFESSIONALI.";"1"
"00055460B4";"";"8907";"FORNITURA DI ISOLATORI IN VETRO PER LINEE ELETTRICHE AT";"3875000.0";;"FORNITURA DI ISOLATORI IN VETRO PER LINEE ELETTRICHE AT";"3875000.0";"FORNITURE";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-21";"2007-03-05";"16";"ACCORDO QUADRO";"1";"CONTRATTO D'APPALTO";"0000225430";"05779661007";"TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI (IN FORMA ABBREVIATA TERNA S.P.A.)";"SEZIONE REGIONALE CENTRALE";"54A78387-185A-4BD5-B2CD-4BE7D98371FB";"FUNZIONE ACQUISTI E APPALTI PER LINEE";"2007";"2";"26000000-8";"PRODOTTI MINERALI NON METALLICI.";"1"
"00070623BE";"";"11129";"FORNITURA PICCOLA CARPENTERIA METALLICA ";"20320.0";;"FORNITURA PICCOLA CARPENTERIA METALLICA ";"20320.0";"FORNITURE";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-21";"2007-02-22";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000234406";"05403151003";"TRENITALIA SPA";"SEZIONE REGIONALE CENTRALE";"B64C18DF-B25D-4503-9F6B-B7E1E920D828";"LOGISTICA MATERIALI E ACQUISTI TECNICI E INDUSTRIALI";"2007";"2";"27000000-5";"METALLI DI BASE E PRODOTTI CONNESSI.";"1"
"0003232B1E";"";"5084";"FORNITURA TAVOLO OPERATORIO";"54167.0";;"FORNITURA TAVOLO OPERATORIO";"54167.0";"FORNITURE";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-01";"2007-02-10";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000182262";"01013470297";"AZIENDA ULSS N.5 POLESANA";"SEZIONE REGIONALE VENETO";"CD3ABFA1-F4EE-4668-BCCE-C7897B676DC6";"ACQUISIZIONE E GESTIONE BENI E SERVIZI";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"0003031541";"";"4680";"LAVORI DI RIFACIMENTO E ADEGUAMENTO DEGLI IMPIANTI ELETTRICI COMUNALI";"306921.0";;"LAVORI DI RIFACIMENTO E ADEGUAMENTO DEGLI IMPIANTI ELETTRICI COMUNALI";"306921.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-15";"2007-03-05";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000243736";"80009590284";"COMUNE DI MONTEGROTTO TERME";"SEZIONE REGIONALE VENETO";"1808";"UFFICIO TECNICO COMUNALE";"2007";"2";"50000000-5";"SERVIZI DI RIPARAZIONE, MANUTENZIONE E INSTALLAZIONE.";"1"
"00048133CF";"";"7671";"SERVIZI ASSICURATIVI PER IL COMUNE";"571060.0";;"POLIZZA RESPONSABILITÀ CIVILE PATRIMONIALE";"50960.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-04-16";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000163866";"00575230172";"COMUNE DI DESENZANO DEL GARDA";"SEZIONE REGIONALE LOMBARDIA";"AFE579C6-CFE4-4A27-BEE8-2A2147D1E495";"UFFICIO ECONOMATO";"2007";"2";"67000000-7";"SERVIZI AUSILIARI DI INTERMEDIAZIONE FINANZIARIA.";"1"
"000177264B";"";"1894";"SOLUZIONI INFUSIONALI  PER IL PERIODO 01.08.2007 - 31.07.2010";"246000.0";;"SOLUZIONI INFUSIONALI  PER IL PERIODO 01.08.2007 - 31.07.2010";"246000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-26";"2007-04-11";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000546626";"04114380167";"AZIENDA SOCIO SANITARIA TERRITORIALE DI BERGAMO EST";"SEZIONE REGIONALE LOMBARDIA";"5DA670F5-C319-4E76-9A84-900A60742A10";"UOC GESTIONE ACQUISTI E LOGISTICA";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"00023589DF";"";"3290";"PIANO NAZIONALE DELLA SICUREZZA STRADALE - ECONDO PROGRAMMA DI ATTUAZIONE 2003 - SICUREZZA STRADALE INTERSEZIONI VIA INDIPENDENZA/VIA DIVISIONE ACQUI - I° STRALCIO: INTERSEZIONI VIA DIVISIONE ACQUI/TANGENZIALE, VIA INDIPENDENZA/TANGENZIALE, VIA INDIPENDENZA/VIA RESISTENZA";"682329.0";;"INTERSEZIONI VIA INDIPENDENZA/VIA DIVISIONE ACQUI";"682329.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-23";"2007-03-29";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000155493";"00221940364";"COMUNE DI MODENA";"SEZIONE REGIONALE EMILIA ROMAGNA";"F6315B6E-283B-4C18-BD8C-EBA18C4A8741";"SETTORE LAVORI PUBBLICI";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
